Дата выдачи,Подразделение,Контракт,Sum of Первоначальная сумма займа,Sum of Ежемесячный платеж,Sum of Кол-во дней просрочки (фактическое),Кредитный продукт
2021-01-27 00:00:00,Тойота Центр Өскемен,12610200060R03,14550000,53318,10,ПВ 40%+ / Срок 60 м. НА-БП
2020-10-27 00:00:00,Тойота Центр Павлодар,12610200102,2383125,85323,4,SMART Credit / ПВ 20%+ / Срок 36м / АСП / 05_23
2023-01-05 00:00:00,Тойота Центр Астана,12610210226R02,12301839,19959,1,ПВ 20-39.9% / Срок 12-84
2021-10-27 00:00:00,Тойота Центр Шымкент,12610210333,14599388,347454,277,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-11-22 00:00:00,Тойота Центр Жетісу,12610210499R02,9100000,159632,210,ПВ 20-39.9% / Срок 12-84 м / Без забот-БПД
2022-10-28 00:00:00,Lexus Astana,12610220134,15484163,310628,2,Easy Flex ПВ 20%+/  Срок 12 мес
2022-10-27 00:00:00,Тойота Центр Актобе,12610220522,17128900,410419,3,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес PS ж
2022-10-28 00:00:00,Тойота Центр Шымкент,12610220613,10682992,354124,2,Easy c КАСКО Toyota/Lexus ПВ 20-50%+/ Срок 36 мес
2021-11-29 00:00:00,Тойота Сити,12611210191,18165385,324822,3,Easy c КАСКО ПВ 40-50% Срок 24 мес
2020-12-29 00:00:00,Тойота Центр Жетісу,12612200126,7461542,184422,1,ПВ 20%+ / Срок 12-84 м / Без забот
2022-12-27 00:00:00,Тойота Центр Жетісу,12612220090,18316238,407234,3,Easy Flex ПВ 20%+/  Срок 12 мес/Без забот/PS
2022-12-27 00:00:00,Тойота Центр Кызылорда,12612220199,55834515,1120096,3,Easy Flex ПВ 20%+/ Срок 12 мес
2022-12-27 00:00:00,Тойота Центр Шымкент,12612220215,6497147,133585,3,Easy Flex ПВ 20%+/ Срок 12 мес/Без забот
2022-12-27 00:00:00,Тойота Центр Есиль,12612220470,13193288,255848,4,Easy Flex ПВ 20%+/  Срок 12 мес
2022-12-27 00:00:00,Nissan Almaty,12612220520,19874981,417507,4,Easy Flex ПВ 20%+/  Срок 12 мес/PS
2023-02-28 00:00:00,Тойота Центр Шымкент,12702230157,31712520,3019359,2,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / 11_22
2023-03-28 00:00:00,Тойота Центр Қостанай,12703230412,16560720,321151,3,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2023-03-31 00:00:00,Lexus Astana,12703230693,18418738,344866,2,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2023-03-29 00:00:00,Тойота Центр Жетісу,12703230735,14846100,377787,28,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 03_23
2022-04-27 00:00:00,Тойота Центр Атырау,12704210264R01,6162030,252601,2,ПВ 40%+ / Срок 12-84 м. БПД
2022-04-28 00:00:00,Тойота Центр Павлодар,12704220255,6279273,148828,4,Отсрочка с платежами ПВ 20%+/ Срок 60 мес БУ
2022-07-12 00:00:00,Тойота Центр Павлодар,12705220031R03,16442726,174610,3,Easy Prado/Corolla/CH-R/ES ПВ 40-50% Срок 24 мес
2021-06-29 00:00:00,Тойота Центр Кызылорда,12706210064,11126766,276256,1,Comfort 24 КАСКО ПВ 40-65% Н/А
2023-01-16 00:00:00,Тойота Центр Жетісу,12706220303R02,3581514,28250,3,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
2022-07-01 00:00:00,Тойота Центр Атырау,12706220691,21281050,26566311,1,Отсрочка ПВ 20%+/Срок 12 м/Без забот
2022-06-30 00:00:00,Тойота Центр Есиль,12706220709,13360627,13654722,1,Отсрочка Prado ПВ 50%+/Срок 12 м
2021-07-28 00:00:00,Тойота Центр Уральск,12707210402,32219200,718607,91,Стандарт с КАСКО ПВ 40% + / Cрок 12-84 мес-БПД
2022-07-29 00:00:00,Mycar Astana,12707220153,4557765,135559,1,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2023-02-09 00:00:00,Тойота Центр Астана,1270918008R05,7864500,42360,2,ПВ 20-39.9% / Срок 54-60 м.-БПД
2021-09-30 00:00:00,Тойота Центр Өскемен,12709210152,8743250,189439,1,ПВ 40%+ / Срок 12-84 м.-Н/А-Повторные
2021-09-29 00:00:00,Тойота Центр Шымкент,12709210178,14889752,562756,1,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2021-09-28 00:00:00,Тойота Центр Шымкент,12709210343,7048992,368632,2,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2021-09-29 00:00:00,Тойота Центр Актау,12709210376,16100000,368454,1,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2022-09-28 00:00:00,Тойота Центр Шымкент,12709220094,29443856,2679772,32,ПВ 20%+ / Срок 12 м. Анн/Уд
2022-09-28 00:00:00,Тойота Сити Астана,12709220110,12402126,248799,2,Easy Flex ПВ 20%+/  Срок 12 мес
2022-09-28 00:00:00,Тойота Сити,12709220185,22928738,498264,2,Easy Flex ПВ 20%+/  Срок 12 мес/PS
2022-11-07 00:00:00,Mycar Astana,12709220193R01,14533757,299224,2,Отсрочка с платежами ПВ 20%+/ Срок 60 мес БУ
2022-09-29 00:00:00,Тойота Центр Уральск,12709220417,4299859,83384,2,Easy Flex ПВ 20%+/  Срок 12 мес
2021-10-28 00:00:00,Тойота Центр Шымкент,12710210332,28145064,747320,4,ПВ 20-39.9% / Срок 12-84- НА-повторные
2021-11-11 00:00:00,Тойота Центр Жетісу,12710210480R01,13224837,394052,1,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
2020-12-29 00:00:00,Тойота Центр Есиль,12712200026,5000000,140263,1,ПВ 40%+ / Срок 12-84 м / Без забот-Н/А
2021-12-28 00:00:00,Тойота Центр Павлодар,12712210355,11046835,259366,214,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2021-12-30 00:00:00,Тойота Сити,12712210447,15232091,279007,2,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2023-01-26 00:00:00,Тойота Центр Атырау,12712210470R02,11211000,219659,36,ПВ 40%+ / Срок 12-84 м / Без забот-БПД
2022-12-29 00:00:00,Тойота Центр Караганда,12712210520R01,11505297,1314454,59,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2021-12-30 00:00:00,Тойота Центр Есиль,12712210611,10580760,245778,2,ПВ 40%+ / Срок 12-84 м / Без забот-Н/А
2022-11-08 00:00:00,Тойота Центр Астана,1280119010R01,11465050,269763,4,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-03-04 00:00:00,Тойота Сити,12801210175R02,8118000,103129,2,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2022-02-28 00:00:00,Тойота Сити Астана,12802220124,13674908,276233,2,Easy c КАСКО ПВ 40-50%+/ Срок 36 мес Повтор.
2022-02-28 00:00:00,Тойота Сити,12802220603,14888023,359259,2,Easy с КАСКО ПВ 20-39.9%/ Срок 36 мес
2023-02-28 00:00:00,Тойота Сити Астана,12802230032,30084619,610184,2,Easy Flex ПВ 20%+/ Срок 12 мес/ PS
2023-02-28 00:00:00,Тойота Сити,12802230214,38671819,871909,2,Easy с КАСКО / ПВ 20-65% / Срок 36м / АСП / 11_22
2023-03-01 00:00:00,Тойота Центр Кызылорда,12802230321,46218600,2408271,25,Стандарт Удержанный / ПВ 20%+ / Срок 12-84м / 11_22
2019-04-01 00:00:00,Тойота Центр Шымкент,1280319017,8594879,96534,28,ПВ 20-39.9% / Срок 54-60 м.-БПД
2023-03-30 00:00:00,Тойота Центр Караганда,12803220016R01,6786833,409282,2,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-11-08 00:00:00,Тойота Центр Уральск,12803220529R02,14126460,109379,1,Easy c КАСКО ПВ 40-50% Срок 24 мес
2023-03-31 00:00:00,Mycar Raiymbek,12803230239,9999285,213969,59,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-04-29 00:00:00,Тойота Сити,12804220148,20512423,418271,4,Easy с КАСКО ПВ 40-50%/ Срок 36 мес
2022-04-29 00:00:00,Тойота Сити Астана,12804220205,26911580,599460,31,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2023-04-28 00:00:00,Тойота Центр Павлодар,12804230147,16197409,335767,1,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-11-29 00:00:00,Тойота Центр Актау,12806190109R04,10346900,26618,1,ПВ 40%+ / Срок 54-60 м. ФЛ БП С ком
2021-06-29 00:00:00,Тойота Центр Шымкент,12806210253,13281783,303959,93,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2018-07-31 00:00:00,Тойота Центр Шымкент,1280718007,7046686,175631,59,ПВ 20-39.9% / Срок 54-60 м.-БПД
2021-07-29 00:00:00,Тойота Центр Шымкент,12807210161,7132458,372554,3,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-08-29 00:00:00,Тойота Центр Актау,12807220384R01,22147302,775836,1,Стандарт Prado ПВ 20-39.9%/ Срок 12-84 мес.
2023-06-09 00:00:00,Тойота Сити Астана,12809210193R03,16541907,117246,1,Easy ПВ 20-39.9%/ Срок 24 мес
2022-09-29 00:00:00,Mycar Raiymbek,12809220127,3847500,120201,1,ПВ 20-39.9% / Срок 12-84
2022-09-29 00:00:00,Тойота Центр Шымкент,12809220226,11716000,291314,59,Easy ПВ 20-39.9%/ Срок 36 мес/Без забот
2022-09-30 00:00:00,Тойота Центр Актобе,12809220481,20420005,588568,143,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес PS ж
2021-10-29 00:00:00,Тойота Центр Шымкент,12810210208,8025864,191121,93,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-11-02 00:00:00,Тойота Сити Астана,12810210364R01,14605943,570903,1,ПВ 40%+ / Срок 12-84 м. БПД
2021-10-29 00:00:00,Тойота Центр Павлодар,12810210406,11913896,290637,1,ПВ 20%+ / Срок 18-84 м.
2022-01-20 00:00:00,Тойота Центр Шымкент,12810210414R02,9600458,229072,1,Easy c КАСКО ПВ 40-50% Срок 24 мес
2021-10-29 00:00:00,Тойота Центр Жетісу,12810210745,8897000,218016,1,ПВ 20-39.9% / Срок 12-84 / Без забот - Повторные
2022-09-01 00:00:00,Тойота Центр Жетісу,12811190250R02,12000000,160552,301,Dealer Staff ПВ 20%+ / Срок 12-84 м.
2022-11-29 00:00:00,Volkswagen Нур-Султан,12811220180,46523520,902199,2,Easy Flex ПВ 20%+/  Срок 12 мес
2022-11-29 00:00:00,Тойота Центр Павлодар,12811220404,13934532,279541,1,Easy Flex ПВ 20%+/  Срок 12 мес
2022-11-29 00:00:00,Тойота Центр Жетісу,12811220594,12371369,318751,2,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / Без забот / АСП / 11_22
2021-12-29 00:00:00,Тойота Центр Шымкент,12812210339,3925750,113244,2,Tested/Select ПВ 40%+ / Срок 12-84 м. БУ/Анн
2022-12-30 00:00:00,Тойота Сити,12812220445,55022400,2194797,31,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / 11_22
2023-03-30 00:00:00,Тойота Центр Есиль,12903230014,10774990,230568,1,Easy Flex / ПВ 20%+ / Срок 12м / 01_23
2023-05-22 00:00:00,Тойота Центр Атырау,12904230047,15086250,493816,7,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / АСП / 03_23
2021-05-31 00:00:00,Тойота Центр Жетісу,12905210022,11312000,317135,1,ПВ 20-39.9% / Срок 12-84 м / Без забот
2021-05-31 00:00:00,Тойота Центр Жетісу,12905210030,12090000,273580,1,ПВ 20-39.9% / Срок 12-84 / Без забот
2022-06-30 00:00:00,Тойота Сити Астана,12906220236,14145615,17856339,2,Отсрочка ПВ 20%+/Срок 12 м-БУ PS
2021-08-02 00:00:00,Тойота Центр Атырау,12907210095,7575000,220547,3,ПВ 40%+ / Срок 12-84 м / ТЦ Атырау НК
2022-11-11 00:00:00,Тойота Сити,12907220078R02,16892567,764941,1,Стандарт Prado ПВ 40%+/ Срок 12-84 мес
2022-08-01 00:00:00,Тойота Центр Жетісу,12907220409,13148492,1098995,59,Стандарт Prado ПВ 40%+/ Срок 12-84 мес/ Без забот
2021-10-01 00:00:00,Тойота Центр Есиль,12909210119,7455926,54584,270,Отсрочка с вознаграждением - БУ/ Без забот
2023-01-26 00:00:00,BMW Алматы,12909220241R01,11814600,22794,2,Easy Flex ПВ 20%+/  Срок 12 мес
2022-09-30 00:00:00,Тойота Центр Атырау,12909220514,2418112,81828,2,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
2023-02-20 00:00:00,Тойота Сити,12912210411R02,18118792,437846,107,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-01-31 00:00:00,MyCar Уральск,13001230716,15491112,310768,63,Easy Flex ПВ 20%+/  Срок 12 мес
2023-02-01 00:00:00,Тойота Сити,13001230765,18190170,534602,2,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-02-02 00:00:00,Тойота Центр Шымкент,13001230781,23720183,605227,2,Easy с КАСКО / ПВ 20-65% / Срок 36м / Без забот / АСП / 11_22
2023-01-31 00:00:00,Mycar Raiymbek,13001230823,5008647,100479,2,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-04-05 00:00:00,Тойота Центр Атырау,13003220152,18700150,479799,2,ПВ 20-39.9% / Срок 12-84 м / Без забот
2022-01-14 00:00:00,Тойота Центр Шымкент,13004210079R01,14380548,338042,84,Стандарт с КАСКО ПВ 10-19.9% + / Cрок 12-84 мес
2022-06-30 00:00:00,Тойота Центр Өскемен,13006220068,7191913,224666,122,ПВ 20-39.9% / Срок 12-84
2022-07-01 00:00:00,Тойота Центр Шымкент,13006220175,18591676,467468,59,ПВ 20%+ Toyota/Lexus / Срок 12-84-Повторные-Б/У Без забот
2020-07-02 00:00:00,Тойота Центр Алматы,13007190443R01,10357600,247622,18,Camry 06.16 ПВ 20-39.9% / Срок 54-60 м.-БПД
2021-08-02 00:00:00,Тойота Центр Кызылорда,13007210373,5494824,132579,88,Стандарт с КАСКО ПВ 10-19.9% + / Cрок 12-84 мес
2022-10-26 00:00:00,Тойота Центр Шымкент,13009220560,44741160,4239739,63,Стандарт с КАСКО ПВ 40% + / Cрок 12-84 м/Без забот
2023-01-04 00:00:00,Тойота Центр Караганда,13011210013R01,27234158,527425,1,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2021-11-30 00:00:00,Lexus Shymkent,13011210112,13853600,334222,59,Стандарт с КАСКО ПВ 10-19.9% + / Cрок 12-84 мес
2022-12-26 00:00:00,Lexus Shymkent,13011210203R01,14464899,438098,59,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-02-06 00:00:00,Тойота Центр Астана,13101230418,18176325,468646,53,Стандарт Повторный / ПВ 20%+ / Срок 12-84м / Без забот / АСП / 11_22
2021-06-01 00:00:00,Тойота Центр Атырау,13105210390,13130000,519953,2,ПВ 40%+ / Срок 12-84 м / ТЦ Атырау НК
2022-06-01 00:00:00,Тойота Центр Есиль,13105220019,23288513,29088299,30,Отсрочка ПВ 20%+/Срок 12 м/Без забот
2022-06-01 00:00:00,Тойота Центр Актау,13105220191,13903766,17283262,30,Отсрочка ПВ 20%+/Срок 12 м.
2022-06-02 00:00:00,Тойота Центр Есиль,13105220597,9959603,12439948,29,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2022-12-29 00:00:00,Тойота Центр Шымкент,13107190186R02,8311937,273385,4,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2019-10-31 00:00:00,Тойота Центр Атырау,13110190066,11397697,277805,1,ПВ 40%+ / Срок 54-60 м.-БПД
2019-11-01 00:00:00,Тойота Центр Шымкент,13110190157,10722299,282313,25,Tested/Select ПВ 20-39.9% / Срок 54-60 м. - БУ
2022-11-01 00:00:00,Lexus Shymkent,13110220418,14931788,389512,212,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
2023-02-03 00:00:00,Mycar Raiymbek,20102230370,9484251,190264,119,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-04-04 00:00:00,Тойота Сити,20104220098,7627230,408655,56,ПВ 40%+ / Срок 12-84 м.-Б/У
2022-06-03 00:00:00,Mycar Raiymbek,20106220302,3853154,4789714,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-03 00:00:00,Тойота Центр Астана,20106220328,6598412,8241684,28,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2021-09-03 00:00:00,Тойота Центр Алматы,20109210144,33600000,811171,330,ПВ 20+% Toyota/Lexus / Срок 12-84-Повторные-Б/У
2022-12-06 00:00:00,Mycar Raiymbek,20109220390R01,6878423,184275,50,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2022-11-02 00:00:00,Volkswagen Нур-Султан,20111220214,6757184,141946,88,Easy Flex ПВ 20%+/  Срок 12 мес/PS
2023-02-03 00:00:00,Астер Авто Бесагаш,20202230254,8357988,181627,58,Easy Flex / ПВ 20%+ / Срок 12м / PS / АСП / 01_23
2023-04-04 00:00:00,Volkswagen Нур-Султан,20204230021,32954160,639057,25,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-06-06 00:00:00,Тойота Центр Қостанай,20206220061,9139771,11342979,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-06 00:00:00,Тойота Центр Қостанай,20206220079,10849369,13464688,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-06 00:00:00,Тойота Центр Есиль,20206220186,5304606,6625669,25,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2022-06-09 00:00:00,Subaru Astana,20206220293,7288442,9059995,22,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-11-03 00:00:00,Mycar Astana,20211220411,9408328,201323,25,Easy Flex ПВ 20%+/  Срок 12 мес
2022-03-05 00:00:00,Lexus Aktobe,20303220444,9066023,11444251,119,Отсрочка ПВ 20%+/Срок 12 м-БУ PS
2023-04-05 00:00:00,Mycar Astana,20304230152,14404376,288966,25,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-06-06 00:00:00,Тойота Центр Шымкент,20306220243,25205175,568431,53,Отсрочка с платежами ПВ 20%+/ Срок 60 мес/ Без забот БУ
2019-10-07 00:00:00,Тойота Центр Шымкент,20310190309,20169500,244092,84,ПВ 10-39.9% / Срок 54-60 м.
2022-04-08 00:00:00,Тойота Центр Алматы,20312210212R01,11907900,154507,85,ПВ 20%+ Toyota/Lexus / Срок 12-84 Удерж.
2022-03-04 00:00:00,Mycar Kuldzhinka,20403220328,10368840,12889125,119,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2023-01-17 00:00:00,Тойота Центр Павлодар,20407220621R01,4100000,128974,44,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м.
2020-03-20 00:00:00,Тойота Центр Актобе,20409190285R01,17033545,0,15,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-12-27 00:00:00,Mycar Kuldzhinka,20410220204R01,5629003,37978,116,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2021-11-05 00:00:00,Тойота Центр Шымкент,20411210287,2973384,73438,59,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2022-11-07 00:00:00,Тойота Центр Жетісу,20411220047,7495046,213022,23,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / 12-84 мес/Без забот PS
2022-11-07 00:00:00,Тойота Центр Павлодар,20411220237,16928644,1621750,18,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-11-07 00:00:00,Mycar Astana,20411220336,4743956,113224,23,Отсрочка с платежами ПВ 20%+/ Срок 60 мес БУ
2022-11-07 00:00:00,Exeed Almaty,20411220369,6117913,122731,84,Easy Flex ПВ 20%+/  Срок 12 мес
2022-04-06 00:00:00,Тойота Центр Шымкент,20504220144,3563640,109093,56,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2020-01-06 00:00:00,Тойота Центр Атырау,20601200031,14277102,186473,423,ПВ 40%+ / Срок 12-84 мес БПД
2023-04-10 00:00:00,Lexus Astana,20604230456,13946150,279774,18,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-05-11 00:00:00,Mycar Raiymbek,20605220282,8350226,10379859,51,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-22 00:00:00,Lexus Astana,20606220307,44001510,54696664,9,Отсрочка ПВ 20%+/Срок 12 м.
2022-06-07 00:00:00,Mycar Raiymbek,20606220653,5120023,6364512,24,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-08-09 00:00:00,Тойота Центр Шымкент,20608210116,4153120,102693,23,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2022-08-12 00:00:00,Hyundai Astana,20608220073,11889617,317354,18,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2022-10-12 00:00:00,Lexus Astana,20610220129,32491200,776899,16,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2022-12-07 00:00:00,Hyundai Almaty,20612220358,2291491,92774,81,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-02-08 00:00:00,Тойота Центр Жетісу,20702230085,14901266,447991,21,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-06-08 00:00:00,Mycar Raiymbek,20706220140,2565934,3189618,23,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2023-02-15 00:00:00,Тойота Центр Кызылорда,20709210254R01,8867113,226699,4,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / Cрок 12-84 мес
2022-09-09 00:00:00,Тойота Центр Кызылорда,20709220410,5892264,201142,18,Easy c КАСКО Мультибренд ПВ 20-39.99% Срок 36 мес/Без забот
2022-10-12 00:00:00,Тойота Центр Жетісу,20710220136,4250880,137162,46,Стандарт с КАСКО Мультибренд ПВ 20-39.9% + / 12-84 мес/Без забот PS
2023-01-19 00:00:00,Mycar Raiymbek,20711220044R01,6158536,160343,78,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-11-08 00:00:00,Mycar Raiymbek,20711220374,5617000,153650,53,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м.
2021-12-07 00:00:00,Тойота Центр Павлодар,20712210036,9279879,11262228,205,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-12-09 00:00:00,Тойота Центр Алматы,20712210317,11200000,294263,130,ПВ 20+% Toyota/Lexus / Срок 12-84-Повторные-Б/У
2023-05-18 00:00:00,Lexus Astana,20801210111R03,14340207,342255,4,ПВ 40%+ / Срок 12-84 м. БПД
2022-04-11 00:00:00,Тойота Центр Актау,20804220372,17657081,21948870,81,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-05-12 00:00:00,Mycar Astana,20805220025,4398941,5468162,50,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-09 00:00:00,Тойота Центр Павлодар,20806220230,8728541,10850129,22,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-09-09 00:00:00,Тойота Центр Павлодар,20809210097,13530000,344050,170,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м.
2022-01-14 00:00:00,Тойота Центр Павлодар,20812210118R01,5084000,122645,51,"Мультибренд JP, DE ПВ 20-39.9% / Срок 12-84 м"
2021-03-11 00:00:00,Тойота Центр Шымкент,20903210118,5097076,183556,4,SMART Credit Мультибренд ПВ 40%+ / Срок 36 м.-БПД
2021-03-10 00:00:00,Тойота Центр Актау,20903210217,5563700,157555,137,ПВ 20+% Toyota/Lexus / Срок 12-84-Повторные-Б/У
2023-03-30 00:00:00,Mycar Kuldzhinka,20903230413,15580769,291729,63,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2023-03-10 00:00:00,Тойота Центр Шымкент,20903230454,50197000,1242804,51,Стандарт Удержанный / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-06-15 00:00:00,Mycar Raiymbek,20906220049,9375407,11654225,16,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-12-12 00:00:00,Mycar Astana,20912220116,9880488,198213,18,Easy Flex ПВ 20%+/  Срок 12 мес
2023-02-13 00:00:00,Тойота Центр Шымкент,21002230080,6295098,168748,18,Easy с КАСКО / ПВ 20-65% / Срок 36м / Без забот / АСП / 11_22
2023-03-16 00:00:00,Mycar Astana,21003230360,8288993,216005,11,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2023-05-15 00:00:00,Тойота Центр Қостанай,21005230442,38974800,3707734,18,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / АСП / 03_23
2022-06-13 00:00:00,Тойота Центр Астана,21006220012,9032842,11228394,18,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-13 00:00:00,Mycar Astana,21006220335,4925089,6122198,18,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-11-11 00:00:00,Тойота Центр Павлодар,21011210347,5448736,6558186,231,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-11-12 00:00:00,Тойота Центр Есиль,21011210479,5979200,146610,17,Мультибренд ПВ 20-39.9%/ 12-84 мес/ Без забот
2022-11-11 00:00:00,Тойота Центр Павлодар,21011220155,6986913,218422,79,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2022-12-19 00:00:00,Тойота Центр Павлодар,21012210072R01,5557752,88044,137,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2021-12-13 00:00:00,Тойота Центр Павлодар,21012210205,26392315,32030187,199,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2023-06-09 00:00:00,Lexus Aktobe,21103220147R12,21878502,501498,8,Easy c КАСКО ПВ 40-50% Срок 24 мес + 2
2022-04-13 00:00:00,Тойота Центр Жетісу,21104220310,4686400,136346,46,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м./Без забот PS
2022-04-12 00:00:00,Тойота Центр Актау,21104220336,8063163,323773,109,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-05-17 00:00:00,Mycar Astana,21105220483,5192076,119066,11,Отсрочка с платежами ПВ 20%+/ Срок 60 мес БУ
2021-08-17 00:00:00,Тойота Центр Астана,21108210382,3628972,92160,164,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м.
2023-02-23 00:00:00,Тойота Сити Астана,21111210098R01,4446202,171838,108,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-11-18 00:00:00,Тойота Центр Қостанай,21111210247R01,34471980,507002,3,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2021-11-12 00:00:00,Тойота Центр Павлодар,21111210346,5023054,6043029,231,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-11-15 00:00:00,Hyundai Al-Farabi,21111220105,12400000,682864,15,Мультибренд ПВ 20-49.9%+ / Срок 12-84 м.
2022-11-14 00:00:00,Тойота Центр Павлодар,21111220451,5606494,108723,17,Easy Flex ПВ 20%+/  Срок 12 мес
2023-01-17 00:00:00,Lexus Astana,21201230063,26227098,697353,44,Отсрочка с платежами / ПВ 20%+ / Срок 60м / АСП / 11_22
