Дата выдачи,Подразделение,Контракт,Sum of Первоначальная сумма займа,Sum of Ежемесячный платеж,Sum of Кол-во дней просрочки (фактическое),Кредитный продукт
2023-02-23 00:00:00,Тойота Центр Алматы,12202230228,13502545,279904,4,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2023-05-23 00:00:00,Тойота Центр Өскемен,12202230459R01,9983090,115234,10,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2022-04-25 00:00:00,Тойота Центр Есиль,12204220011,21231210,559287,4,ПВ 20%+ / Срок 12-84 м / Без забот
2023-04-25 00:00:00,Тойота Сити,12204230069,18266602,417399,4,Easy с КАСКО/ ПВ 20-65% / Срок 36м / 11_22
2020-06-15 00:00:00,Тойота Центр Шымкент,12205200095,13316400,324848,15,ПВ 20%+ / Срок 18-84 м.
2021-06-23 00:00:00,Тойота Центр Шымкент,12206210242,11127271,288068,7,КАСКО ПВ 30-39.9% 24
2021-06-24 00:00:00,Тойота Сити Астана,12206210283,8208036,205611,4,ПВ 40-65%-Comfort 24-Повторные
2022-06-24 00:00:00,Тойота Центр Есиль,12206220415,10025377,12722814,7,Отсрочка ПВ 20%+/Срок 12 м/ Без забот-БУ PS
2022-06-23 00:00:00,Тойота Центр Павлодар,12206220431,15991445,19878379,8,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-27 00:00:00,Тойота Центр Есиль,12206220456,18920290,497154,3,Стандарт Prado ПВ 20-39.9%/ Срок 12-84 мес/ Без забот
2022-06-24 00:00:00,Тойота Центр Караганда,12206220480,13431680,1190045,7,Стандарт с КАСКО ПВ 40% + / Cрок 12-84 мес-БПД
2022-06-24 00:00:00,Тойота Центр Қостанай,12206220530,18975825,23575463,8,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-07-23 00:00:00,Тойота Сити,12207210035,13022340,384013,36,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2022-07-25 00:00:00,Тойота Сити,12207220091,12040864,647820,4,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2020-08-25 00:00:00,Тойота Центр Есиль,12208200068,13741000,388635,4,ПВ 20-39.9% / Срок 12-84-НА
2022-12-14 00:00:00,Тойота Центр Есиль,12209210041R02,12417196,72480,4,ПВ 20-39.9% / Срок 12-84
2021-09-23 00:00:00,Тойота Центр Өскемен,12209210389,11018750,259752,2,ПВ 40%+ / Срок 12-84 м.-Б/У
